id,first_name,last_name,company_domain,email
1,Jane,Doe,HealthPlus,jane.doe@datadynamics.com
2,Chris,Doe,TechCorp,chris.doe@innovatech.com
3,Chris,Brown,DataDynamics,chris.brown@innovatech.com
4,Chris,Johnson,DataDynamics,chris.johnson@ecoenergy.com
5,Chris,Smith,Innovatech,chris.smith@ecoenergy.com
6,Jane,Brown,Innovatech,jane.brown@healthplus.com
7,Michael,Doe,HealthPlus,michael.doe@healthplus.com
8,Anna,Johnson,HealthPlus,anna.johnson@ecoenergy.com
9,Chris,Brown,HealthPlus,chris.brown@ecoenergy.com
10,Sarah,Smith,EcoEnergy,sarah.smith@techcorp.com
